ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value
2021S05075350001.00,5350001.00,5350001.00,599.0,253.0,235.0,137000.0,111000.0,0.22448979591836735,190.0,55.0,1000000.0,18240.0,2060.0,1520.0,1000000.0
2021S05075350002.00,5350002.00,5350002.00,604.0,294.0,280.0,85000.0,76000.0,0.10526315789473684,250.0,30.0,400000.0,18000.0,532.0,1500.0,400000.0
2021S05075350003.00,5350003.00,5350003.00,457.0,279.0,265.0,89000.0,73500.0,0.3148148148148148,185.0,85.0,650000.0,24720.0,1800.0,2060.0,650000.0
2021S05075350004.00,5350004.00,5350004.00,6306.0,3620.0,3280.0,50000.0,45600.0,0.926605504587156,240.0,3030.0,1500000.0,13560.0,1640.0,1130.0,1500000.0
2021S05075350005.00,5350005.00,5350005.00,6957.0,4235.0,3720.0,66000.0,58400.0,0.7365591397849462,980.0,2740.0,670000.0,15600.0,2220.0,1300.0,670000.0
2021S05075350007.01,5350007.01,5350007.01,3402.0,1838.0,1655.0,57200.0,51200.0,0.8662790697674418,225.0,1490.0,1300000.0,14160.0,2200.0,1180.0,1300000.0
2021S05075350007.02,5350007.02,5350007.02,4422.0,2639.0,2375.0,53600.0,48000.0,0.9696312364425163,75.0,2235.0,1170000.0,14760.0,1430.0,1230.0,1170000.0
2021S05075350008.01,5350008.01,5350008.01,8480.0,5998.0,5470.0,97000.0,80000.0,0.5166975881261595,2605.0,2785.0,695000.0,24960.0,2320.0,2080.0,695000.0
2021S05075350008.02,5350008.02,5350008.02,11591.0,7827.0,7020.0,90000.0,75500.0,0.5477207977207977,3175.0,3845.0,695000.0,23280.0,2300.0,1940.0,695000.0
2021S05075350009.00,5350009.00,5350009.00,520.0,176.0,170.0,45200.0,42400.0,1.0,0.0,180.0,939000.0,14400.0,,1200.0,
2021S05075350010.01,5350010.01,5350010.01,5611.0,3400.0,3185.0,110000.0,89000.0,0.41781874039938555,1895.0,1360.0,800000.0,24720.0,2200.0,2060.0,800000.0
2021S05075350010.02,5350010.02,5350010.02,7468.0,4713.0,4260.0,97000.0,81000.0,0.4612676056338028,2295.0,1965.0,750000.0,20880.0,1900.0,1740.0,750000.0
2021S05075350011.01,5350011.01,5350011.01,9592.0,7391.0,6375.0,97000.0,79500.0,0.5794831636648394,2690.0,3700.0,760000.0,24960.0,2420.0,2080.0,760000.0
2021S05075350011.02,5350011.02,5350011.02,9746.0,7605.0,6570.0,88000.0,73500.0,0.6285500747384155,2485.0,4205.0,720000.0,24480.0,2220.0,2040.0,720000.0
2021S05075350011.03,5350011.03,5350011.03,6391.0,5157.0,4120.0,84000.0,71000.0,0.6533166458072591,1380.0,2610.0,700000.0,24000.0,2300.0,2000.0,700000.0
2021S05075350012.01,5350012.01,5350012.01,13554.0,8969.0,7890.0,84000.0,71000.0,0.6136795440151995,3050.0,4845.0,685000.0,23520.0,2100.0,1960.0,685000.0
2021S05075350012.03,5350012.03,5350012.03,8957.0,6005.0,5175.0,98000.0,81000.0,0.5759615384615384,2205.0,2995.0,700000.0,24720.0,2200.0,2060.0,700000.0
2021S05075350012.04,5350012.04,5350012.04,5688.0,3967.0,3485.0,95000.0,79000.0,0.6054913294797688,1365.0,2095.0,700000.0,25200.0,1920.0,2100.0,700000.0
2021S05075350013.01,5350013.01,5350013.01,6820.0,4891.0,4240.0,91000.0,76500.0,0.6581096849474912,1465.0,2820.0,750000.0,22080.0,2120.0,1840.0,750000.0
2021S05075350013.02,5350013.02,5350013.02,10439.0,7001.0,6175.0,100000.0,83000.0,0.5530179445350734,2740.0,3390.0,850000.0,26640.0,2100.0,2220.0,850000.0
2021S05075350014.00,5350014.00,5350014.00,2382.0,1663.0,1310.0,92000.0,77000.0,0.5917602996254682,550.0,790.0,1000000.0,24000.0,2780.0,2000.0,1000000.0
