ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value,population_2016,occupied_dwellings_2016,median_household_income_2016,renter_share_2016,home_price_2016,annual_rent_2016,units_2021,units_2016,delta_units,income_growth,rent_growth,home_price_growth,renter_share_change,dev_occurred
2021S05075350001.00,5350001.00,5350001.00,599.0,253.0,235.0,137000.0,111000.0,0.22448979591836735,190.0,55.0,1000000.0,18240.0,2060.0,1520.0,1000000.0,595.0,247.0,108186.0,0.32653061224489793,697219.0,17556.0,253.0,247.0,6.0,0.26633760375649346,0.03896103896103896,0.43426957670401983,-0.10204081632653059,1
2021S05075350002.00,5350002.00,5350002.00,604.0,294.0,280.0,85000.0,76000.0,0.10526315789473684,250.0,30.0,400000.0,18000.0,532.0,1500.0,400000.0,620.0,270.0,78592.0,0.1206896551724138,324995.0,8556.0,294.0,270.0,24.0,0.08153501628664495,1.1037868162692848,0.23078816597178417,-0.015426497277676962,1
2021S05075350003.00,5350003.00,5350003.00,457.0,279.0,265.0,89000.0,73500.0,0.3148148148148148,185.0,85.0,650000.0,24720.0,1800.0,2060.0,650000.0,749.0,258.0,86699.0,0.37735849056603776,400257.0,23124.0,279.0,258.0,21.0,0.026540098501712822,0.06901920083030617,0.6239566078794374,-0.06254367575122294,1
2021S05075350004.00,5350004.00,5350004.00,6306.0,3620.0,3280.0,50000.0,45600.0,0.926605504587156,240.0,3030.0,1500000.0,13560.0,1640.0,1130.0,1500000.0,6686.0,3455.0,37525.0,0.9332365747460087,1000800.0,11556.0,3620.0,3455.0,165.0,0.3324450366422385,0.17341640706126688,0.4988009592326139,-0.006631070158852781,1
2021S05075350005.00,5350005.00,5350005.00,6957.0,4235.0,3720.0,66000.0,58400.0,0.7365591397849462,980.0,2740.0,670000.0,15600.0,2220.0,1300.0,670000.0,6424.0,3424.0,47067.0,0.7591240875912408,449197.0,12300.0,4235.0,3424.0,811.0,0.40225635795780484,0.2682926829268293,0.4915504778527016,-0.02256494780629459,1
2021S05075350007.01,5350007.01,5350007.01,3402.0,1838.0,1655.0,57200.0,51200.0,0.8662790697674418,225.0,1490.0,1300000.0,14160.0,2200.0,1180.0,1300000.0,3237.0,1747.0,42475.0,0.875,848337.0,11628.0,1838.0,1747.0,91.0,0.3466745144202472,0.21775025799793601,0.5324098795643712,-0.008720930232558155,1
2021S05075350007.02,5350007.02,5350007.02,4422.0,2639.0,2375.0,53600.0,48000.0,0.9696312364425163,75.0,2235.0,1170000.0,14760.0,1430.0,1230.0,1170000.0,4753.0,2506.0,39253.0,0.9659318637274549,800521.0,12180.0,2639.0,2506.0,133.0,0.36550072605915473,0.21182266009852216,0.46154816675639987,0.0036993727150613775,1
2021S05075350008.01,5350008.01,5350008.01,8480.0,5998.0,5470.0,97000.0,80000.0,0.5166975881261595,2605.0,2785.0,695000.0,24960.0,2320.0,2080.0,695000.0,7503.0,4954.0,83473.0,0.5336683417085427,421051.0,21348.0,5998.0,4954.0,1044.0,0.16205240017730285,0.16919617762788083,0.6506313961966602,-0.016970753582383202,1
2021S05075350008.02,5350008.02,5350008.02,11591.0,7827.0,7020.0,90000.0,75500.0,0.5477207977207977,3175.0,3845.0,695000.0,23280.0,2300.0,1940.0,695000.0,9942.0,6060.0,72619.0,0.5495049504950495,399612.0,19788.0,7827.0,6060.0,1767.0,0.23934507498037705,0.17647058823529413,0.739187011401059,-0.0017841527742518126,1
2021S05075350009.00,5350009.00,5350009.00,520.0,176.0,170.0,45200.0,42400.0,1.0,0.0,180.0,939000.0,14400.0,,1200.0,,567.0,166.0,29056.0,1.0,0.0,12612.0,176.0,166.0,10.0,0.5556167400881057,0.14176974310180782,939000.0,0.0,1
2021S05075350010.01,5350010.01,5350010.01,5611.0,3400.0,3185.0,110000.0,89000.0,0.41781874039938555,1895.0,1360.0,800000.0,24720.0,2200.0,2060.0,800000.0,5428.0,3147.0,88640.0,0.384,470517.0,20436.0,3400.0,3147.0,253.0,0.24097472924187727,0.20963006459189665,0.7002573764603617,0.03381874039938554,1
2021S05075350010.02,5350010.02,5350010.02,7468.0,4713.0,4260.0,97000.0,81000.0,0.4612676056338028,2295.0,1965.0,750000.0,20880.0,1900.0,1740.0,750000.0,7740.0,4447.0,79892.0,0.4578177727784027,448720.0,16944.0,4713.0,4447.0,266.0,0.21413908776848745,0.23229461756373937,0.6714209306471742,0.0034498328554001256,1
2021S05075350012.01,5350012.01,5350012.01,13554.0,8969.0,7890.0,84000.0,71000.0,0.6136795440151995,3050.0,4845.0,685000.0,23520.0,2100.0,1960.0,685000.0,11658.0,6881.0,67193.0,0.6497093023255814,388133.0,20196.0,8969.0,6881.0,2088.0,0.2501302218981144,0.16458704693998813,0.7648589529877645,-0.03602975831038191,1
2021S05075350012.03,5350012.03,5350012.03,8957.0,6005.0,5175.0,98000.0,81000.0,0.5759615384615384,2205.0,2995.0,700000.0,24720.0,2200.0,2060.0,700000.0,8865.0,5311.0,85148.0,0.5962085308056873,400649.0,20964.0,6005.0,5311.0,694.0,0.15093719171325223,0.17916428162564396,0.7471652244233731,-0.02024699234414884,1
2021S05075350012.04,5350012.04,5350012.04,5688.0,3967.0,3485.0,95000.0,79000.0,0.6054913294797688,1365.0,2095.0,700000.0,25200.0,1920.0,2100.0,700000.0,4899.0,2956.0,81802.0,0.5243697478991597,421809.0,20400.0,3967.0,2956.0,1011.0,0.1613407985134838,0.23529411764705882,0.6595188817687626,0.08112158158060911,1
2021S05075350013.01,5350013.01,5350013.01,6820.0,4891.0,4240.0,91000.0,76500.0,0.6581096849474912,1465.0,2820.0,750000.0,22080.0,2120.0,1840.0,750000.0,6290.0,4059.0,80626.0,0.6593137254901961,501346.0,20028.0,4891.0,4059.0,832.0,0.12866817155756208,0.1024565608148592,0.49597284111172724,-0.0012040405427048428,1
2021S05075350013.02,5350013.02,5350013.02,10439.0,7001.0,6175.0,100000.0,83000.0,0.5530179445350734,2740.0,3390.0,850000.0,26640.0,2100.0,2220.0,850000.0,8126.0,4725.0,92105.0,0.5005313496280552,519029.0,22620.0,7001.0,4725.0,2276.0,0.08571738776396504,0.17771883289124668,0.6376734247989997,0.052486594907018125,1
2021S05075350014.00,5350014.00,5350014.00,2382.0,1663.0,1310.0,92000.0,77000.0,0.5917602996254682,550.0,790.0,1000000.0,24000.0,2780.0,2000.0,1000000.0,1242.0,691.0,110336.0,0.49264705882352944,699318.0,29964.0,1663.0,691.0,972.0,-0.1661832946635731,-0.19903884661593912,0.429964622675235,0.09911324080193873,1
2021S05075350015.00,5350015.00,5350015.00,4922.0,3688.0,3045.0,94000.0,79500.0,0.49917081260364843,1505.0,1505.0,800000.0,23280.0,1980.0,1940.0,800000.0,3663.0,2226.0,91097.0,0.4358407079646018,490711.0,19776.0,3688.0,2226.0,1462.0,0.03186713064096512,0.17718446601941748,0.6302874808186488,0.06333010463904665,1
2021S05075350016.00,5350016.00,5350016.00,11144.0,7596.0,6845.0,95000.0,79000.0,0.4784514243973703,3565.0,3275.0,695000.0,22080.0,2160.0,1840.0,695000.0,10101.0,6180.0,80441.0,0.48624595469255666,444849.0,19212.0,7596.0,6180.0,1416.0,0.1809897937618876,0.14928169893816365,0.5623278910371834,-0.0077945302951863416,1
2021S05075350018.00,5350018.00,5350018.00,3633.0,2167.0,1985.0,105000.0,87000.0,0.5103092783505154,955.0,990.0,990000.0,24960.0,2320.0,2080.0,990000.0,2456.0,1248.0,89856.0,0.4089068825910931,696578.0,17136.0,2167.0,1248.0,919.0,0.1685363247863248,0.4565826330532213,0.42123351584460034,0.10140239575942234,1
2021S05075350019.00,5350019.00,5350019.00,3269.0,1456.0,1375.0,80000.0,71000.0,0.4558303886925795,765.0,645.0,1100000.0,12360.0,2080.0,1030.0,1100000.0,3258.0,1365.0,60032.0,0.501779359430605,697772.0,9840.0,1456.0,1365.0,91.0,0.3326226012793177,0.25609756097560976,0.5764461743950746,-0.04594897073802551,1
2021S05075350020.00,5350020.00,5350020.00,2298.0,1036.0,990.0,147000.0,118000.0,0.14427860696517414,860.0,145.0,1510000.0,27600.0,1490.0,2300.0,1510000.0,2390.0,1014.0,144384.0,0.1407766990291262,1002698.0,26376.0,1036.0,1014.0,22.0,0.018118351063829786,0.04640582347588717,0.5059369820225033,0.003501907936047932,1
2021S05075350021.00,5350021.00,5350021.00,5192.0,2847.0,2610.0,89000.0,75000.0,0.5645472061657033,1130.0,1465.0,1510000.0,18360.0,1760.0,1530.0,1510000.0,5199.0,2661.0,77152.0,0.5671077504725898,1001235.0,15048.0,2847.0,2661.0,186.0,0.15356698465367066,0.22009569377990432,0.5081374502489425,-0.0025605443068864586,1
2021S05075350022.00,5350022.00,5350022.00,3847.0,1582.0,1480.0,149000.0,122000.0,0.2440677966101695,1120.0,360.0,1510000.0,18600.0,2500.0,1550.0,1510000.0,3883.0,1504.0,123221.0,0.25418060200668896,1000757.0,14484.0,1582.0,1504.0,78.0,0.20920946916515853,0.28417564208782103,0.5088577946494504,-0.010112805396519459,1
2021S05075350023.00,5350023.00,5350023.00,3374.0,1506.0,1405.0,134000.0,109000.0,0.23404255319148937,1080.0,330.0,1600000.0,18360.0,1620.0,1530.0,1600000.0,3208.0,1286.0,127317.0,0.23552123552123552,1103304.0,13716.0,1506.0,1286.0,220.0,0.05249102633583889,0.33858267716535434,0.45018961229180715,-0.001478682329746156,1
2021S05075350024.00,5350024.00,5350024.00,6891.0,3148.0,2940.0,115000.0,97000.0,0.39285714285714285,1785.0,1155.0,1400000.0,19200.0,2500.0,1600.0,1400000.0,6887.0,2963.0,95772.0,0.40809443507588533,899040.0,13752.0,3148.0,2963.0,185.0,0.20076849183477424,0.3961605584642234,0.5572165865812422,-0.015237292218742482,1
