ctuid,near_subway_500m,near_rapid_500m,n_subway_stops_800m,n_rapid_stops_800m,n_all_stops_800m,dist_nearest_subway_m,dist_nearest_rapid_m,n_subway_stops_800m_norm,n_rapid_stops_800m_norm,n_all_stops_800m_norm,transit_indicator
2021S05075350420.13,0,0,0,0,0,6792.4986706245045,6792.4986706245045,0.0,0.0,0.0,0.0
2021S05075350422.03,0,0,0,0,0,12403.519962179778,12403.519962179778,0.0,0.0,0.0,0.0
2021S05075350422.04,0,0,0,0,0,11533.951736644607,11533.951736644607,0.0,0.0,0.0,0.0
2021S05075350422.05,0,0,0,0,0,11344.194630263857,11344.194630263857,0.0,0.0,0.0,0.0
2021S05075350422.06,0,0,0,0,0,10856.788197140526,10856.788197140526,0.0,0.0,0.0,0.0
2021S05075350424.07,0,0,0,0,0,13152.984059342978,13152.984059342978,0.0,0.0,0.0,0.0
2021S05075350424.08,0,0,0,0,0,12286.794303208408,12286.794303208408,0.0,0.0,0.0,0.0
2021S05075350804.10,0,0,0,0,0,17934.70650233755,17934.70650233755,0.0,0.0,0.0,0.0
2021S05075350804.11,0,0,0,0,0,19750.370825388367,19750.370825388367,0.0,0.0,0.0,0.0
2021S05075350450.05,0,0,0,0,0,27415.189705824047,27415.189705824047,0.0,0.0,0.0,0.0
2021S05075350450.06,0,0,0,0,0,28511.159692564514,28511.159692564514,0.0,0.0,0.0,0.0
2021S05075350573.06,0,0,0,0,0,21424.059271741873,15646.878654231228,0.0,0.0,0.0,0.0
2021S05075350573.07,0,0,0,0,0,20073.783860663832,14893.569631720688,0.0,0.0,0.0,0.0
2021S05075350576.16,0,0,0,0,0,19526.37394713989,12820.146287206728,0.0,0.0,0.0,0.0
2021S05075350576.17,0,0,0,0,0,18922.325963310042,12379.062425902051,0.0,0.0,0.0,0.0
2021S05075350585.09,0,0,0,0,0,18404.470607430016,18404.470607430016,0.0,0.0,0.0,0.0
2021S05075350585.10,0,0,0,0,0,16636.658464345983,16636.658464345983,0.0,0.0,0.0,0.0
2021S05075350586.02,0,0,0,0,0,30792.630602644796,24250.66535295135,0.0,0.0,0.0,0.0
2021S05075350516.30,0,0,0,0,0,15749.838928794006,13373.886309145926,0.0,0.0,0.0,0.0
2021S05075350516.31,0,0,0,0,0,15331.378695201674,12642.703731625528,0.0,0.0,0.0,0.0
2021S05075350516.32,0,0,0,0,0,20905.560179116634,19177.05753328484,0.0,0.0,0.0,0.0
2021S05075350520.07,0,0,0,0,0,9347.68314837646,6375.54764580684,0.0,0.0,0.0,0.0
2021S05075350520.08,0,0,0,0,0,10384.803996320124,7212.472000660434,0.0,0.0,0.0,0.0
2021S05075350528.32,0,0,0,0,0,13633.648766865233,13051.39691475107,0.0,0.0,0.0,0.0
2021S05075350528.33,0,0,0,0,0,14866.790250160306,13895.654278837188,0.0,0.0,0.0,0.0
2021S05075350528.34,0,0,0,0,0,10584.01605447926,10511.38191431891,0.0,0.0,0.0,0.0
2021S05075350528.35,0,0,0,0,0,7470.777066464755,7470.777066464755,0.0,0.0,0.0,0.0
2021S05075350530.01,0,0,0,0,2,11158.664754908954,2680.8715183928193,0.0,0.0,0.022222222222222223,0.0
2021S05075350530.02,0,0,0,0,0,11139.720122964189,2544.4303880574785,0.0,0.0,0.0,0.0
2021S05075350451.05,0,0,0,0,0,28215.330318059976,28215.330318059976,0.0,0.0,0.0,0.0
2021S05075350451.06,0,0,0,0,0,27245.219597065545,27245.219597065545,0.0,0.0,0.0,0.0
2021S05075350451.07,0,0,0,0,0,26013.708282761254,26013.708282761254,0.0,0.0,0.0,0.0
